Motivo,Detalhe Operacional,Quando utilizar,Tipo
"No momento, a sua margem é insuficiente para contratação.",Margem já comprometida por outra instituição financeira,Esse motivo deverá ser utilizado em casos de proosta cancelada por falta de margem,Pendência
O benefício está bloqueado para contratação de empréstimos.,Beneficio bloqueado para empréstimo,"Esse motivo será utlizado para propostas que serão canceladas no sistema do banco por conta do bloqueio do benefício. Neste caso, o cliente pode possuir margem mas está impossibilitado de seguir com a contratação por causa do bloqueio. Ex.: GOV GO: Produto indisponível. ",Cancelamento
Documento enviado é inválido ou não pôde ser aceito.,Documento inviável/ausente,Esse motivo será utlizaodo para cancelar a proposta em caso do cliente não ter uma documentação válida para prosseguir com a proposta ,Cancelamento
"Proposta em atualização, aguarde nosso contato.",Alteração valores da proposta,"Esse motivo será utilizado caso o cliente ou o banco solicite a alteraçao de valores, para se ajustar aos dados de margem ou ao gosto do cliente, em casos genéricos, ireoms retornar a propostra para ma nova simulaçao no mesmo banco com esse motivo ",Pendência
Aguardando liberação da consulta de margem no portal.,Liberação De Consulta Servidor,,Pendência
Sua proposta será alterada. Entraremos em contato para informar as atualizações,Contrato em atraso,"Esse motivo será utilizado quando for identificao que o cliente possui contrato em atraso com o banco e daremos duas op;coes, ou ele entrea em contato com o banco e regulariza ou cancelamos a proposta e envia para sales para realoxar ",Pendência
"Endereço precisará ser alterado, aguarde contato.",Alteração de endereço,Esse motivo será utilizado em casos onde o banco ou o clinete solicita a alteraçao do enderco na proposta,Pendência
"Sua proposta sofrerá uma alteração, aguarde contato.",Reprova no cálculo manual,Esse Motivo será utlizado em casos de proposta recusada no banco por calculo manual e ela deverá ser recusada ,Pendência
Margem insuficiente para prosseguir com a operação.,Margem disponível insuficiente,"Esse motivo será utilizado em casos de proosta cancelada por falta de margem. Neste caso, o cliente tinha margem disponível no momento da simulação mas utilizou em outra consignatária no período em que o acompanhamento foi criado. Ex.: Tinha 100 de margem, simulou no app mas contratou em outro corban. No momento da averbação do nosso contrato, a margem já estava zerada ou parcialmente utilizada. ",Cancelamento
"Pagamento devolvido, confirme seus dados bancários.",Pagamento devolvido,,Pendência
A taxa do contrato está fora do permitido pelo banco.,Taxa de contrato fora do Roteiro Operacional,Esse motivo será utlizado em operaçoes de portabildiade onde a taxa do contrato simulado ou portado no dia do retorno da CIP está fora dos parametros ,Cancelamento
Aguardando confirmação do portal do servidor.,Aguarda aceite servidor,,Pendência
Documento não consta assinatura,Não Assinante,Esse motivo será utlizado em casos onde na documentação do cliente consta como nao assinante. ,Cancelamento
Informações do contrato não encontradas.,Informações Do Contrato Não Informadas,Esse motivo será utlizado em casos de portabilidade onde o cliente não enviou o o documento descritivo ,Cancelamento
Documento pendente,Documento pendente,Algum documento pendente na proposta ,Pendência
Detectamos duplicidade da proposta.,Duplicidade,Proposta será cancelada por duplicidade (subiu dois acompanhamenots) ,Cancelamento
Proposta reprovada após análise de viabilidade do banco.,Reprova no cálculo manual,"Esse motivo será utilizado em casos de propostas reprovadas por calculo manual, após análise do banco. ",Cancelamento
O banco identificou restrições internas durante a análise da proposta.,Restrição bancária,O cliente está fora da política do banco e encontra-se com restrição para contratação no banco simulado. Ex.: PAN - NPR RECUSA: Fora da Política do Banco,Cancelamento
Estamos confirmando sua matrícula.,Matrícula incorreta,Esse motivo será utilizado em casos de pendencia retornando a proposta para sales ou digitacao para a correcao da matricula ou a ocnfirmacao da mesma ,Pendência
Aguardando realização de vídeo chamada.,Aguardando Vídeo Chamada,Esse motivo será utlizado em caso de pendencia indo para em progresos para realizar a video chamada ,Pendência
Seu número está cadastrado na lista Não Me Perturbe.,Não me perturbe,"Esse motivo sera utlizado em caso de cliente com número cadastrado no Não me Perturbe, onde não há como realocar a operação.  ",Cancelamento
"Contrato não encontrado no sistema, aguarde contato.",Contrato não encontrado,"Esse motivo será utilizado quando tivermos o retorno do banco sobre o contrato que estamos realizando a portabilidade, somente será possível uam redigitacao com a confirmacao atraves da DDC ",Pendência
Aprovação De Proposta,Aprovação De Proposta,,Pendência
A solicitação foi cancelada a pedido do titular da proposta.,Desistência do cliente,Esse motivo será utlizaod em qualquer estancia para o acnelamento por deisitencia do cliente,Cancelamento
Há pendências com a Receita Federal; regularize para seguir.,Pendência Receita Federal,"Esse motivo será utilizado em casos do cancelamento de proposta por pendencia na recieta, o cliente deve sanar para proseguir senoa cancela ",Cancelamento
A proposta foi cancelada por falta da assinatura digital.,Assinatura expirada,Porposta cancelada por falta de assinare,Cancelamento
Enviado ao setor jurídico. Aguarde nosso contato para acompanhar os próximos passos,Aguardando jurídico,"Quando o cliente é retido fake pela segunda vez mesmo já tendo aberto a reclamação no Bacen na primeira retenção, nós oferecemos o apoio jurídico com Wilquer.",Pendência
"Seu benefício está bloqueado, realize o desbloqueio para continuar.",Bloqueado para empréstimo,Esse motivo é utlizado em casos de pendnecia em progresso para solicitar o desvloqueio do beneficio ,Pendência
Seu tipo de vínculo não é aceito para esta operação.,Tipo de vínculo não atendido,Esse motivo será retornado para sales como pendencia para ele realocar proposta ,Pendência
"Sua proposta sofrerá uma alteração, aguarde contato.",Pendente de margem,"Motivo de pendencia, estamos aguardando a liberação da margem que foi averbada de um banco para outro para realocar ",Pendência
"Contracheque pendente, envie o documento.",Contracheque pendente,Esse motivo será utlizando em casos de pedencia em qualquer instancia dessa documentacao ,Pendência
Aguardando averbação,Aguardando averbação,Esse motivo será utliioando principalmente em aumentos de margem INSS,Pendência
"Sua margem está negativa, tentaremos regularizar através de uma portabilidade",Margem Negativa,Esse é um motivo de pendencia onde devera ser enviad apara sales para verificar a possibilidade de regularizar a margem negativa com uma portabilidade ,Pendência
CPF registrado no Não Me Perturbe.,CPF cadastrado no Não me perturbe,Esse motivo sera utlizado em caso de realocacao retonarndo para sales para a verificacoa do vendedor ,Pendência
Estamos analisando se a informação retornada pelo banco é verdadeira.,Retenção fake,Esse motivo será utlizado quando ha o retonro do saldo e ee esta sendo verirficado como retneacao ,Pendência
Proposta não processada por falta de interação do titular.,Desistência - Sem interação com o atendente,Esse motivo será utilizado em qualquer instancia quando nao ha um retorno do cliente durante a formalizacao ,Cancelamento
"Formalização recusada, aguarde contato.",Formalização recusada,Esse motivo será utilizado quando a proposta é recusada no momento da formalização ,Pendência
Aguarda aceite IN100,Aguarda aceite IN100,Essa pendencia será utilizada pelo time de digitacao retornando para sales para liberar a consulta e prosseguir com a equipe ,Pendência
Iremos enviar um novo link.,Link inválido,,Pendência
Proposta realocada para outro processo.,Realocação de proposta,,Pendência
Será necessário alterar seus dados de cadastro.,Alteração de dados cadastrais,"Esse motivo será utlizando para altearra os dados basicos do clinetes, como numero e nome data de nascimento ",Pendência
É necessária uma nova assinatura para continuar.,Nova Assinatura Necessária,Esse motivo será utilziado em progeresso para solicitar uma nova assintura ao cliente,Pendência
Aguardando contrato para prosseguir.,Aguardando contrato,Esse motivo será utilizado em casos de portabilidade onde estamos aguardando o retorno do cliente com as informacoes do contrato a ser portado,Pendência
Aguardando envio do TOKEN para prosseguir.,Aguarda Token,Esse motivo será utilizado em progresso ou sales para solicitar o token ao cliente e prosseguir com a proposta ,Pendência
O vínculo do titular não atende aos requisitos do banco para a proposta.,Tipo de vínculo não atendido,Esse motivo é de cancelamento em casos de tipo de vinculo nao atendido ,Cancelamento
O banco de origem informa que uma proposta de retenção foi aceita.,Retenção,Esse motivo é utilizado para cancelar propostas de portabilidade no dia do retorno do saldo por conta de retenção,Cancelamento
Acesso ao portal de consignações não foi informado.,Acesso ao portal de consignações não informado,Esse motivo é utilizado para cancelar propostas donde o cliente não informa o acesso ao portal de consignados para prosseguir com a proposta,Cancelamento
Envie o documento de identificação para continuar,Documento de identificação pendente,Esse motivo é utlizado para pendencias onde o clinete deve fornecer o documento de indentificação em qualquer status ,Pendência
"Prazo de formalização expirou, reinicie sua solicitação.",Formalização expirada,Esse motivo é utilizado para formalização expirada no banco ,Pendência
Pendência na Receita Federal,Pendência na Receita Federal,Esse motivo é utilizado para pendencias onde o cliente deve sanar com a receita federal (normalmente imposto de renda) ,Pendência
Divergência Dados Cadastrais Cliente não concordou com Regras e Condições,Divergência Dados Cadastrais Cliente não concordou com RegrasCondicoes,Esse motivo é utlizado para pendencias onde o cliente solicitou alteração dos dados fornecidos ou foi identificado pelo time de digitação,Pendência
A idade do titular não atende aos requisitos do banco para a proposta,Idade fora dos parâmetros,Esse motivo é utilizado para cancelamento de proposta onde não conseguimos realocar a proposta de banco e o cliente não atinge a idade minima ,Cancelamento
A quantidade de contratos permitida pelo órgão responsável foi excedida.,Quantidade de averbações permitida excedida,"Essa motivo é utilizado para cancelamento devido a quantidade de contratos, o cliente ja atingiu o max pelo convenio ou pelo banco ",Cancelamento
Aguarda cancelamento,Aguarda cancelamento,Esse motivo é para propostas em progresso onde estamos aguardando o cancelamento de propostas pelo banco,Pendência
Esta proposta não está disponível para clientes que recebem o benefício em determinados bancos.,Banco pagador não compatível.,Esse motivo é utlizado para cancelmento de propostas por conta de restrição do banco recebedor ,Cancelamento
Esta proposta não está disponível para esse estado.,Estado não atendido no momento,"Esse motivo é utlizado para cancelmento de propostas por conta de restrição do banco com o estado provedor do beneficio do cliente, utilizado para CP ",Cancelamento
Comprovante de residência pendente,Comprovante de residência pendente,Esse motivo é utilizado  em propostas pendentes o comprovante de residencia ,Pendência
Em análise,Contrato com portabilidade em andamento,"Esse motivo é utilizado para propostas pendentes a confirmação do cleinte e do vendedor, se o cliente está fazendo em outro lugar ou nao ",Pendência
Contrato com portabilidade em andamento,Portabilidade Recusada - Contrato com portabilidade em andamento,"Motivo de cancelamento, onde a nossa operação foi cancelada porque o cliente está realizando uma portabilidade do mesmo contrato em outro lugar e já está cadastrado na CIP ",Cancelamento
Contrato em atraso,Contrato em atraso - Não passível de realocação,"Motivo de cancelmento, onde a nossa proposta foi cancelada pelo banco por conta de contratos em atraso com a instituição financeira e não conseguimos realocar essa proposta de banco ",Cancelamento
Benefício com prazo de validade próximo,Benefício com prazo de validade próximo,Motivo de cancelamento onde não conseugimos prosseguir com a proposta porque o beneficio está proximo de ser liquidado ,Cancelamento
Informe a senha do portal para continuarmos com sua solicitação.,Senha do portal,"Motivo de pendencia, onde o cliente deve informar a senha do portal ",Pendência
"Dados bancários precisarão ser alterados, aguarde contato.",Alteração de dados bancários,"Motivo de pendencias, onde o cliente solicita a alteração dos dados bancarios da proposta, será necessário a confirmação, o cancelamento da propostsa ativa, a redigitação do contrato com as novas informações e a nova assinatura do cliente ",Pendência
"Assinatura pendente, é preciso realizar uma nova assinatura.",Pendente de formalização - Nova assinatura,"Motivo de pendencia, o banco solicitou o envio de uma nova assinatura por parte do cliente ",Pendência
Restrição bancária impede a continuidade do processo.,Restrição bancária,"Motivo de pendencia, o cliente possui uma restrição com o banco simulado, necessário uma realocação de proposta ",Pendência
Autorize a consulta ao seu FGTS para continuar.,Autorização consulta FGTS,Esse motivo será utilizado para propostas de CLT travadas no status para liberar a consulta do FGTS para o banco no app do GTS,Pendência
Telefone registrado no Não Me Perturbe.,Telefone cadastrado no Não me perturbe,"Esse motivo será utilizado para propostas onde foi idenitficado que o cliente está no NMP e o vendedor deverá analisar para realocar ou prosseguir com a proposta no banco, deixando evidente que está de acordo com a proposta",Pendência
Aguardando retorno do suporte do banco para prosseguir.,Aguardando retorno do suporte do banco,Proposta em tratativa com o suporte do banco,Pendência
Envie o extrato bancário para prosseguir.,Extrato Bancário Pendente,"Esse motivo será utilizado em casos do banco solicitar esse tipo de documentação ou em casos de conta digital, solicitando o comprovante da TED salarial",Pendência
Contrato refinanciado no banco de origem ,Contrato refinanciado no banco de origem ,"Cliente ainda na etapa de aquisição, não pode fazer a port conosco pq já está em processo de refinanciamento com o banco de origem ",Cancelamento
Contrato cedido,Contrato cedido,"Cliente com contrato cedido de um banco para outro, o nosso sistema (base de dados) ainda puxa as informações antigas do contrato, podemos realocar com a DDC",Pendência
Margem já comprometida por outra insituição financeira,Margem já comprometida por outra instituição financeira,"Utilizar ele quando o cliente tem margem, mas não conseguimos fazer nada porque parte da margem já está comprometida com outra instituição financeira. Quando a margem foi averbada com outra consignatária. É o caso de GOV SP, SIAPE e todos os convênios que a gente não consegue fazer saque complementar em outro banco.",Cancelamento
Instabilidade momentânea no sistema do banco,Sistema do banco fora do ar ou instavel,Esse motivo será utilizado em casos de instabilidade no sistema do banco e é preciso retornar para digitar a proposta,Pendência
Aguardando desaverbação,Aguardando desaverbação,"Esse motivo será utilizado em situações onde a operação foi reprovada mas a margem permanece averbada pelo banco. Neste caso, devemos solicitar a desaverbação da margem e manter a proposta em inconsistência até que a margem seja liberada.",Pendência
É necessária sua assinatura na proposta FGTS para continuar,Assinatura -  FGTS ,"Esse motivo será utilizado em situações onde o Facta cria uma proposta de FGTS com base na proposta de CLT contratada, o cliente deve assinar essa nova proposta para prosseguir ou a proposta foi cancelada e expirada e retornamos para sales com esse motivo no lugar do cancelamento",Pendência
"Prazo de formalização expirou, reinicie sua solicitação.",Assinatura expirada - FGTS ,"Esse motivo ser[a utilizado quando o Facta gerar uma proposta de FGTS com base da operação de CLT cadastrada, onde a proposta foi cancelada pelo prazo",Cancelamento
Em análise,SRCC - Impedimento de pagamento de comissão,"Esse motivo será utilizado para propostas onde foi idenitficado que o cliente está em SRCC e o vendedor deverá analisar para realocar ou prosseguir com a proposta no banco, deixando evidente que está de acordo com a proposta",Pendência
Portabilidade Recusada pelo banco destino,Não libera troco no refinanciamento,"Quando a taxa do contrato é atendida em algum dos bancos parceiros, mas a proposta não libera troco.",Cancelamento
Portabilidade Recusada pelo banco destino,Taxa ponderada,"Quando o banco retorna Taxa Ponderada, sem possibilidade de realocação",Cancelamento
Portabilidade Recusada pelo banco destino,Banco origem inviável de ser portado / fora da CTC,Quando o banco simulado não for possível de realizar uma portabilidade,Cancelamento
Portabilidade Recusada pelo banco destino,Contrato cedido,"Quando o contrato for cedido para outro banco, sem possibilidade de realocação",Cancelamento
Portabilidade Recusada pelo banco destino,Fora da regra de parcelas pagas,Quando a quantidade de parcelas portadas estiver fora do atendido pelo banco destino,Cancelamento
Portabilidade Recusada pelo banco destino,Verbas acima do permitido,Quando a proposta for cancelada por cálculo manual - cliente com verbas acima do permitido pelo banco.,Cancelamento
Portabilidade Recusada pelo banco destino,Contrato liquidado,Proposta recusada pela CIP com a informação “Contrato liquidado”,Cancelamento
Portabilidade Recusada pelo banco destino,Rentabilidade mínima,Quando a proposta é cancelada pelo banco através de cálculo manual de rentabilidade,Cancelamento
A quantidade de contratos permitida pelo órgão responsável foi excedida.,Quantidade de averbações permitida excedida,"Essa motivo é utilizado para cancelamento devido a quantidade de contratos, o cliente ja atingiu o max pelo convenio ou pelo banco para cartão margem ja comprometida ",Pendência
